,Local,Área plantada (Hectares),Área colhida (Hectares),Quantidade produzida (Toneladas),Rendimento médio da produção (Quilogramas por Hectare),Valor da produção (Mil Reais)
0,Paraná,11022367.0,10888721.0,..,..,80332716.0
1,Noroeste Paranaense,940829.0,922598.0,..,..,5433972.0
2,Paranavaí,308930.0,290699.0,..,..,1615870.0
3,Alto Paraná,5625.0,5575.0,..,..,38125.0
4,Amaporã,14671.0,13921.0,..,..,80879.0
5,Cruzeiro do Sul,16291.0,16291.0,..,..,87171.0
6,Diamante do Norte,9725.0,6800.0,..,..,38000.0
7,Guairaçá,14231.0,14196.0,..,..,62045.0
8,Inajá,8827.0,8761.0,..,..,44196.0
9,Itaúna do Sul,3491.0,3321.0,..,..,18659.0
10,Jardim Olinda,5653.0,5653.0,..,..,41121.0
11,Loanda,10373.0,10283.0,..,..,67035.0
12,Marilena,5299.0,5299.0,..,..,30967.0
13,Mirador,10754.0,10654.0,..,..,55959.0
14,Nova Aliança do Ivaí,5394.0,5344.0,..,..,27624.0
15,Nova Londrina,7778.0,7528.0,..,..,49341.0
16,Paraíso do Norte,13032.0,13032.0,..,..,66130.0
17,Paranacity,21260.0,21260.0,..,..,111930.0
18,Paranapoema,8749.0,8749.0,..,..,61740.0
19,Paranavaí,18047.0,18047.0,..,..,81468.0
20,Planaltina do Paraná,6462.0,6198.0,..,..,40667.0
21,Porto Rico,595.0,595.0,..,..,4554.0
22,Querência do Norte,31627.0,26027.0,..,..,140620.0
23,Santa Cruz de Monte Castelo,14083.0,11473.0,..,..,63456.0
24,Santa Isabel do Ivaí,12645.0,10745.0,..,..,71363.0
25,Santa Mônica,13786.0,10955.0,..,..,67578.0
26,Santo Antônio do Caiuá,2892.0,2892.0,..,..,17509.0
27,São Carlos do Ivaí,18816.0,18616.0,..,..,81000.0
28,São João do Caiuá,4514.0,4514.0,..,..,23253.0
29,São Pedro do Paraná,2791.0,2541.0,..,..,17175.0
30,Tamboara,7260.0,7260.0,..,..,43263.0
31,Terra Rica,14259.0,14169.0,..,..,83050.0
32,Umuarama,416340.0,416340.0,..,..,2653032.0
33,Alto Paraíso,3691.0,3691.0,..,..,36099.0
34,Alto Piquiri,60267.0,60267.0,..,..,376684.0
35,Altônia,12174.0,12174.0,..,..,97399.0
36,Brasilândia do Sul,44690.0,44690.0,..,..,270283.0
37,Cafezal do Sul,21043.0,21043.0,..,..,115009.0
38,Cruzeiro do Oeste,26264.0,26264.0,..,..,159438.0
39,Douradina,5642.0,5642.0,..,..,40215.0
40,Esperança Nova,1347.0,1347.0,..,..,18941.0
41,Francisco Alves,37647.0,37647.0,..,..,250104.0
42,Icaraíma,13058.0,13058.0,..,..,74185.0
43,Iporã,50493.0,50493.0,..,..,309152.0
44,Ivaté,16333.0,16333.0,..,..,94806.0
45,Maria Helena,6051.0,6051.0,..,..,60339.0
46,Mariluz,41329.0,41329.0,..,..,250358.0
47,Nova Olímpia,3629.0,3629.0,..,..,26818.0
48,Perobal,29937.0,29937.0,..,..,154995.0
49,Pérola,2944.0,2944.0,..,..,28174.0
50,São Jorge do Patrocínio,1932.0,1932.0,..,..,22755.0
51,Tapira,9562.0,9562.0,..,..,74067.0
52,Umuarama,22518.0,22518.0,..,..,151852.0
53,Xambrê,5789.0,5789.0,..,..,41357.0
54,Cianorte,215559.0,215559.0,..,..,1165068.0
55,Cianorte,39748.0,39748.0,..,..,230542.0
56,Cidade Gaúcha,13201.0,13201.0,..,..,82300.0
57,Guaporema,11014.0,11014.0,..,..,60159.0
58,Indianópolis,6743.0,6743.0,..,..,33403.0
59,Japurá,21073.0,21073.0,..,..,95945.0
60,Jussara,27159.0,27159.0,..,..,122570.0
