,Local,Principais produtos das lavouras temporárias e permanentes,Área plantada ou destinada à colheita (ha),Área colhida (ha),Participação no total daárea colhida (%),Quantidade produzida (t),Rendimento médio (kg/ha),Valor da produção (1000R$),Participação no total do valor da produção (%)
0,TOTAL,10732006,10704291,"100,0",...,...,40157076,"100,0"
1,Paraná,Lavouras Temporárias,10598562,10571759,"98,8",...,...,38187641,"95,1"
2,Paraná,Lavouras Permanentes,133444,132532,"1,2",...,...,1969435,"4,9"
3,Paraná,Soja(em grão),5454739,5450788,"50,9",17122294,3141,19050167,"47,4"
4,Paraná,Milho(em grão),2584083,2576884,"24,1",13929989,5406,7672260,"19,1"
5,Paraná,Trigo(em grão),1101814,1101314,"10,3",3357449,3049,2099952,"5,2"
6,Paraná,Cana-de-açúcar,656903,650716,"6,1",47492657,72985,2881385,"7,2"
7,Paraná,Feijão(em grão),386377,378934,"3,5",595210,1571,1831325,"4,6"
8,Paraná,Mandioca,148598,147478,"1,4",3888111,26364,1355810,"3,4"
9,Paraná,Fumo(emfolha),74099,73913,"0,7",148797,2013,1064269,"2,7"
10,Paraná,Aveia(em grão),64261,64186,"0,6",162250,2528,65455,"0,2"
11,Paraná,Café(beneficiado),43388,43326,"0,4",61871,1428,412940,"1,0"
12,Paraná,Cevada(em grão),42220,42220,"0,4",202273,4791,120164,"0,3"
13,Paraná,Erva-mate(folha verde),31658,30878,"0,3",242009,7838,284534,"0,7"
14,Paraná,Batata-inglesa,30249,30249,"0,3",775421,25635,1067661,"2,7"
15,Paraná,Arroz(em casca),25673,25673,"0,2",119001,4635,104651,"0,3"
16,Paraná,Laranja,24711,24711,"0,2",743530,30089,376444,"0,9"
17,Paraná,Tangerina,9502,9493,"0,1",167398,17634,143375,"0,4"
18,Paraná,Triticale(em grão),9408,9408,"0,1",27543,2928,11587,"0,0"
19,Paraná,Banana,8016,8005,"0,1",185869,23219,241300,"0,6"
20,Paraná,Cebola,5261,5127,"0,0",98407,19194,123584,"0,3"
21,Paraná,Uva,4324,4301,"0,0",55546,12915,192205,"0,5"
22,Paraná,Melancia,4155,4153,"0,0",121365,29223,82639,"0,2"
23,Paraná,Tomate,3841,3836,"0,0",217430,56681,537834,"1,3"
24,Paraná,Batata-doce,2604,2604,"0,0",56019,21513,67613,"0,2"
25,Paraná,Amendoim(em casca),1980,1980,"0,0",5314,2684,9824,"0,0"
26,Paraná,Palmito,1733,1733,"0,0",7368,4252,25750,"0,1"
27,Paraná,Maçã,1307,1307,"0,0",33626,25728,80640,"0,2"
28,Paraná,Pêssego,1083,1083,"0,0",12938,11946,28830,"0,1"
29,Paraná,Urucum(semente),1069,1069,"0,0",1134,1061,4534,"0,0"
30,Paraná,Maracujá,1061,1051,"0,0",14862,14141,35578,"0,1"
31,Paraná,Abacate,1045,1038,"0,0",20430,19682,28394,"0,1"
32,Paraná,Centeio(em grão),1015,1015,"0,0",2374,2339,1328,"0,0"
33,Paraná,Limão,840,837,"0,0",14633,17483,14048,"0,0"
34,Paraná,Caqui,810,808,"0,0",11394,14101,25333,"0,1"
35,Paraná,Borracha(látex coagulado),732,732,"0,0",1468,2005,3888,"0,0"
36,Paraná,Goiaba,638,638,"0,0",15991,25064,39885,"0,1"
37,Paraná,Noz(frutoseco),518,518,"0,0",1947,3759,9729,"0,0"
38,Paraná,Manga,444,439,"0,0",6785,15456,11824,"0,0"
39,Paraná,Abacaxi,409,409,"0,0",10892,26631,13032,"0,0"
40,Paraná,Melão,351,351,"0,0",4014,11436,7677,"0,0"
41,Paraná,Alho,349,348,"0,0",1665,4784,18187,"0,0"
42,Paraná,Coco-da-baía,231,231,"0,0",1363,5900,1345,"0,0"
43,Paraná,Figo,148,148,"0,0",1123,7588,4568,"0,0"
44,Paraná,Pera,107,107,"0,0",1223,11430,2240,"0,0"
45,Paraná,Rami(fibra),85,85,"0,0",153,1800,383,"0,0"
46,Paraná,Mamão,78,78,"0,0",1490,19103,1971,"0,0"
47,Paraná,Ervilha(em grão),58,58,"0,0",182,3138,831,"0,0"
48,Paraná,Girassol(em grão),30,30,"0,0",27,900,23,"0,0"
49,Paraná,Pimenta-do-reino,1,1,"0,0",8,8000,80,"0,0"
