,NU_ANO_CENSO,NO_REGIAO_IES,NO_UF_IES,SG_UF_IES,NO_MUNICIPIO_IES,CO_MUNICIPIO_IES,NO_MESORREGIAO_IES,NO_MICRORREGIAO_IES,NO_IES,SG_IES,DS_ENDERECO_IES,NO_BAIRRO_IES,QT_TEC_TOTAL,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_MASC,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_MASC,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_MASC,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_MASC,IN_ACESSO_PORTAL_CAPES,IN_SERVICO_INTERNET,IN_PARTICIPA_REDE_SOCIAL,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_FEMI,QT_DOC_EX_MASC,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_ESP,QT_DOC_EX_MEST,QT_DOC_EX_DOUT,QT_DOC_EX_INT,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_PARC,QT_DOC_EX_HOR,QT_DOC_EX_0_29,QT_DOC_EX_30_34,QT_DOC_EX_35_39,QT_DOC_EX_40_44,QT_DOC_EX_45_49,QT_DOC_EX_50_54,QT_DOC_EX_55_59,QT_DOC_EX_60_MAIS,QT_DOC_EX_BRANCA,QT_DOC_EX_PRETA,QT_DOC_EX_PARDA,QT_DOC_EX_AMARELA,QT_DOC_EX_INDIGENA,QT_DOC_EX_COR_ND,QT_DOC_EX_BRA,QT_DOC_EX_EST
0,2020,Centro-Oeste,Mato Grosso,MT,Cuiabá,5103403.0,Centro-Sul Mato-grossense,Cuiabá,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Avenida Fernando Correa da Costa,Boa Esperança,1407.0,1.0,23.0,4.0,17.0,48.0,83.0,131.0,174.0,343.0,299.0,147.0,86.0,28.0,23.0,1.0,1.0,1.0,1756.0,1494.0,722.0,772.0,0.0,125.0,82.0,174.0,1113,1446.0,1153.0,293.0,48.0,0.0,61.0,221.0,286.0,287.0,195.0,142.0,125.0,177.0,890.0,64.0,348.0,38.0,6.0,148.0,1460.0,34.0
1,2020,Centro-Oeste,Distrito Federal,DF,Brasília,5300108.0,Distrito Federal,Brasília,UNIVERSIDADE DE BRASÍLIA,UNB,Campus Universitário Darcy Ribeiro,Asa Norte,3204.0,0.0,0.0,6.0,32.0,165.0,205.0,276.0,326.0,784.0,697.0,338.0,257.0,70.0,48.0,1.0,1.0,1.0,2958.0,2769.0,1269.0,1500.0,0.0,8.0,20.0,259.0,2482,2595.0,2369.0,226.0,174.0,0.0,50.0,198.0,407.0,491.0,420.0,375.0,383.0,445.0,1741.0,87.0,439.0,60.0,5.0,437.0,2617.0,152.0
2,2020,Nordeste,Sergipe,SE,São Cristóvão,2806701.0,Leste Sergipano,Aracaju,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Avenida Marechal Rondon,Jardim Rosa Elze,1426.0,0.0,29.0,5.0,20.0,87.0,112.0,663.0,485.0,0.0,0.0,11.0,10.0,3.0,1.0,1.0,1.0,1.0,1846.0,1771.0,843.0,928.0,0.0,103.0,0.0,284.0,1384,1550.0,1389.0,161.0,221.0,0.0,71.0,185.0,341.0,340.0,285.0,228.0,170.0,151.0,159.0,30.0,254.0,5.0,2.0,1321.0,1744.0,27.0
3,2020,Norte,Amazonas,AM,Manaus,1302603.0,Centro Amazonense,Manaus,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Av. Rodrigo Otávio,Coroado II,1669.0,6.0,6.0,3.0,16.0,124.0,167.0,201.0,224.0,394.0,258.0,127.0,100.0,21.0,22.0,1.0,1.0,1.0,1778.0,1753.0,803.0,950.0,0.0,97.0,122.0,469.0,1065,1659.0,1388.0,271.0,94.0,0.0,91.0,200.0,303.0,299.0,247.0,226.0,202.0,185.0,53.0,7.0,64.0,2.0,4.0,1623.0,1752.0,1.0
4,2020,Nordeste,Piauí,PI,Teresina,2211001.0,Centro-Norte Piauiense,Teresina,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Campus Universitário Ministro Petrônio Portela,Ininga,1156.0,5.0,34.0,1.0,22.0,31.0,84.0,112.0,121.0,245.0,222.0,126.0,94.0,27.0,32.0,1.0,1.0,1.0,1411.0,1411.0,690.0,721.0,0.0,5.0,78.0,281.0,1047,1310.0,1155.0,155.0,100.0,1.0,30.0,168.0,265.0,274.0,183.0,135.0,143.0,213.0,99.0,39.0,182.0,0.0,2.0,1089.0,1411.0,0.0
5,2020,Sudeste,Minas Gerais,MG,Ouro Preto,3146107.0,Metropolitana de Belo Horizonte,Ouro Preto,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Rua Diogo de Vasconcelos,Centro,719.0,4.0,24.0,3.0,14.0,25.0,57.0,44.0,93.0,95.0,117.0,112.0,89.0,25.0,17.0,1.0,0.0,0.0,910.0,845.0,330.0,515.0,0.0,2.0,17.0,96.0,730,840.0,782.0,58.0,5.0,0.0,16.0,82.0,187.0,200.0,95.0,109.0,93.0,63.0,392.0,23.0,138.0,5.0,1.0,286.0,842.0,3.0
6,2020,Sudeste,São Paulo,SP,São Carlos,3548906.0,Araraquara,São Carlos,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Via Washington  Luis,Monjolinho,976.0,17.0,22.0,10.0,13.0,10.0,57.0,79.0,112.0,169.0,157.0,133.0,95.0,58.0,44.0,1.0,1.0,1.0,1345.0,1324.0,589.0,735.0,0.0,1.0,3.0,53.0,1267,1267.0,1234.0,33.0,57.0,0.0,12.0,82.0,242.0,245.0,217.0,170.0,173.0,183.0,746.0,14.0,66.0,28.0,2.0,468.0,1295.0,29.0
7,2020,Sudeste,Minas Gerais,MG,Viçosa,3171303.0,Zona da Mata,Viçosa,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Av. P.H. Rolfs,Campus Universitário,2056.0,4.0,114.0,2.0,32.0,27.0,335.0,88.0,191.0,326.0,484.0,183.0,172.0,55.0,43.0,1.0,1.0,1.0,1289.0,1289.0,526.0,763.0,0.0,44.0,19.0,128.0,1098,1265.0,1140.0,125.0,24.0,0.0,48.0,151.0,250.0,252.0,149.0,133.0,165.0,141.0,392.0,23.0,100.0,3.0,0.0,771.0,1266.0,23.0
8,2020,Sul,Paraná,PR,Londrina,4113700.0,Norte Central Paranaense,Londrina,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Rodovia Celso Garcia Cid Pr 445 Km 380,Campus Universitário,781.0,0.0,6.0,1.0,5.0,61.0,71.0,149.0,173.0,131.0,88.0,32.0,40.0,7.0,17.0,1.0,1.0,1.0,1801.0,1795.0,924.0,871.0,0.0,19.0,81.0,356.0,1339,1265.0,1006.0,259.0,524.0,6.0,54.0,190.0,250.0,266.0,253.0,263.0,265.0,254.0,1468.0,22.0,129.0,87.0,2.0,87.0,1777.0,18.0
9,2020,Sul,Paraná,PR,Curitiba,4106902.0,Metropolitana de Curitiba,Curitiba,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Rua Imaculada Conceição,Prado Velho,1212.0,6.0,4.0,11.0,11.0,245.0,183.0,355.0,150.0,129.0,71.0,18.0,20.0,5.0,4.0,1.0,1.0,1.0,1339.0,1339.0,574.0,765.0,0.0,4.0,70.0,570.0,695,440.0,0.0,440.0,630.0,269.0,27.0,114.0,195.0,249.0,211.0,213.0,156.0,174.0,784.0,15.0,42.0,35.0,1.0,462.0,1333.0,6.0
